MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,dewpoint_temperature_2m,lake_ice_depth,skin_reservoir_content,skin_temperature,snow_albedo,snow_depth,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_latent_heat_flux_sum,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2014,71.0,264.8371322840061,0.6315030455589294,0.00015550400903771144,266.5106161850714,0.7941461807470066,0.9802292851950859,275.6688164266105,275.57218595355175,275.3165439593383,275.0133605044009,-47020340.166666664,84770.24316031435,342854364.0904948,268.1064181291766,0.10452147352693537,-0.13293328079897138,-0.27510166518475376
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2015,59.0,263.4240791521782,0.6781824827194214,0.0001661194236937959,264.3996253783599,0.7721260010168646,1.153627478773225,274.0246227196977,274.0024581608623,273.9815915670873,273.99476973521746,-32989904.333333332,84899.54258940073,344066577.59472656,266.805214913092,0.08256979951718198,-0.11773745643312278,-0.24373665090982854
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2016,65.0,263.4413204292793,0.7353675961494446,0.00016211258189634752,264.6002737239948,0.7856570245618211,0.9282064357794185,275.04381481719406,274.93252780559163,274.6454991606568,274.36490199038326,-42791746.5,84660.39707257507,351614441.29626465,267.06468167795714,0.08480134661833905,-0.015217844979265925,-0.24319528132432752
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2017,59.0,264.5777182094675,0.6754812002182007,0.00015672791054919627,265.43018735078516,0.7743859358301015,1.38079341218463,273.8235479906204,273.78427086223985,273.71596544875405,273.6706411674622,-30394326.0,84719.88865379155,346615539.19606525,267.65261956472244,0.12220927553856005,-0.2698721825839982,-0.25667656595607447
Russia,Kamchatka,Ploskii Tolbachik (Kamchatka) 10,55.89092,160.5375,2018,57.0,264.18492747784717,0.6583927273750305,0.00013846256430822746,265.2887124929926,0.7622442750968226,1.3501588385510839,273.2870232175287,273.2353449521201,273.13045108324434,273.1038290411117,-31442009.666666668,84699.40433338357,352612683.1021525,267.58899715383785,0.10663859537966343,-0.06590354170489379,-0.21194293581090462
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2008,128.0,262.4259680001368,0.8400180339813232,0.00017553718678270475,265.213020282349,0.7065539280539149,0.1952301621333938,274.805359238464,274.64896746872233,274.3860610928951,274.17282429548266,-63174149.0,89205.88173143067,347998605.65305585,268.21517984240137,0.05034765350692597,0.20614402537164567,0.057427412551928514
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2009,91.0,260.80644312997913,0.8722240328788757,0.00018152714692492352,263.6036600637322,0.7056334590012555,0.1892669586582708,274.1317143786949,274.0239111597495,273.92376240224723,273.8361431027867,-59935292.833333336,89230.25737253226,339670801.1454875,266.6282998698261,0.052378376231957624,0.20716776170661821,-0.11711884293464248
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2010,115.0,260.60177706793564,0.9033572673797607,0.00016771495206506306,263.8353318513752,0.7054999065228261,0.17945112133009847,272.3419077516233,272.254734809644,272.21100560781355,272.9295232248827,-60235387.0,89275.37680794799,349843366.56380206,266.3195021357628,0.053999173726294224,0.20953917572305644,-0.07632892546769314
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2011,112.5,262.8090363684765,0.8414663076400757,0.00019139111400309287,265.24687338679456,0.7091847274709956,0.14835915618391243,273.3182279836523,273.0591058729248,272.47241446410743,272.15181041865,-61806472.666666664,89361.51833406191,337212990.5205434,268.43971414349556,0.05301861548986005,0.21978742889519498,-0.037508926353299554
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2012,108.333333333333,261.06458675072133,0.8673582077026367,0.00019130459947682907,263.5653428048191,0.7028989971054846,0.21847302189265402,273.2783754829639,273.09689142637313,272.7011278599168,272.2896904678696,-50555752.166666664,89258.07795045649,321731337.61151123,266.2530861469516,0.07162920005960534,0.13160591802593904,-0.12982809918100055
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2013,105.0,261.67170108783205,0.885967493057251,0.00019870870340539848,264.1150025217418,0.7200055425922747,0.2359300602009362,273.67983210250816,273.44471210382727,272.89930242222925,272.379980270548,-54291866.666666664,89231.43199937296,337693819.00376385,267.09158304387097,0.05355250058868292,0.16562325737570552,-0.10729305765102455
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2014,101.11430785124,261.7079863848143,0.8443874716758728,0.0001769090327239521,264.43616939495604,0.6976577448303697,0.18111544920124886,274.20261375213937,273.99000592580074,273.5336859486131,272.7306853418363,-63308475.0,89360.53789731085,347175204.0904948,267.6167490585853,0.05757232969500681,0.2548619741650547,-0.03304626804037822
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2015,96.8571625344353,262.5823754076177,0.8685667514801025,0.00018827112562945524,265.27205259807687,0.7137597587475253,0.2210092477168539,274.40427695715215,274.14172959194224,273.49728845502153,272.8531211040801,-64246105.166666664,89377.68719065521,361385913.4280599,268.37805128764086,0.045574984644440285,0.22504258865122095,-0.053177416967814604
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2016,92.1714359504132,261.2284228058429,0.9086083173751831,0.00019191238159044528,263.82946767480706,0.7286783829183449,0.22501722955096712,274.24861274875883,274.08524820031477,273.7479282967609,273.27160237039294,-56396110.666666664,89358.39507524263,335153639.46293133,266.86619814598816,0.04748107175867222,0.18575519604895185,-0.11874997567893285
Russia,Central Siberia,Chara Belenky,56.76038,118.18903,2017,87.0,262.15587012941955,0.9082638621330261,0.00020782772847757262,264.6251083496874,0.7120414978714399,0.21223941821859935,274.3926546816778,274.19274371908597,273.7610487747119,273.3978051038707,-60253618.5,89346.1728903827,336274587.0293986,267.9021760290445,0.052742115929560164,0.25619938599639097,-0.10629918190766204
Russia,Central Siberia,Chara Most,56.906264,118.28067,2008,80.0,263.44823671901287,0.8081834316253662,0.0002344490950226143,266.29617660920303,0.7072023931428921,0.17812736730308787,275.2582113638161,275.0806809451521,274.76566123816633,274.49098130875274,-67373587.16666667,92625.02599730734,345046817.8197225,269.458531165126,0.045038197168440895,0.03692023365350156,-0.2672651297319846
Russia,Central Siberia,Chara Most,56.906264,118.28067,2009,59.5,261.8870844233135,0.8368207216262817,0.00022561885360873154,264.7708306886939,0.70802348830387,0.16703460583977378,274.3331612113963,274.2340439363722,274.1613827813056,274.14881323138326,-65961443.5,92673.98081003224,337161911.6454875,267.8731046289974,0.04829043202734903,0.04411306930526284,-0.43021948007333605
Russia,Central Siberia,Chara Most,56.906264,118.28067,2010,79.0,261.6296792015889,0.8699128031730652,0.0002254612753868744,264.9588415757892,0.710240210211507,0.16150380447265292,272.7416364441554,272.60222235770124,272.3916681509454,272.82797106044,-66243194.666666664,92725.13076100101,346579250.56380206,267.4690917454353,0.04969089784786481,0.04197545932749877,-0.417605897532447
Russia,Central Siberia,Chara Most,56.906264,118.28067,2011,78.8313008130081,263.9536667982615,0.8083900809288025,0.000246414649906694,266.42748050658776,0.7064039099519622,0.12894407221228824,273.76977506287375,273.4876621458387,272.83764581287204,272.2776870961115,-67361262.16666667,92784.7497059364,333485322.0205434,269.7071809160565,0.049185384905000205,0.03812929678515661,-0.31732991744881295
Russia,Central Siberia,Chara Most,56.906264,118.28067,2012,78.3333333333333,262.02483171430134,0.8374374508857727,0.00025706895790647007,264.638999389171,0.7221474492362779,0.19816633259140656,273.63506783131726,273.40420029669116,272.85702228141264,272.37712191955285,-57394064.5,92710.13794857683,319580852.44484454,267.31284683417147,0.06710982874376843,-0.03851689246324263,-0.47470009448007894
Russia,Central Siberia,Chara Most,56.906264,118.28067,2013,75.3333333333333,262.7420289200633,0.8599779009819031,0.0002555657911427061,265.14152919340705,0.7234984898449192,0.22047384912842752,274.3379160078989,274.08386864734604,273.4823864286681,272.688550764893,-60935496.5,92665.53582068418,334654693.83709717,268.2816993316259,0.04929126767614248,-0.007027852972440087,-0.40692582229900376
