MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,NDVI,EVI
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2011,221.0,2831.681818181818,1499.8636363636363
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2012,220.0,2644.590909090909,1430.0
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2013,221.0,2675.086956521739,1368.608695652174
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2014,223.0,2471.2608695652175,1309.4347826086957
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2015,220.0,2620.4347826086955,1394.9130434782608
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2016,220.0,2816.5454545454545,1495.8636363636363
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2017,222.0,2653.318181818182,1445.409090909091
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2018,224.0,2571.3478260869565,1356.0869565217392
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2019,225.0,2436.6521739130435,1313.3478260869565
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2020,225.0,2553.181818181818,1359.8636363636363
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2021,227.0,2236.0434782608695,1181.304347826087
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2022,227.0,2528.782608695652,1345.5652173913043
Russia,Central Siberia,Tuymada (Yakutsk region),62.0133,129.65683,2023,225.0,2668.8695652173915,1381.1304347826087
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2009,100.0,2561.5652173913045,1551.1304347826087
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2010,100.0,2571.2608695652175,1497.1739130434783
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2011,86.0,2509.4347826086955,1476.9130434782608
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2012,0.0,2556.090909090909,1540.5454545454545
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2013,50.0,2817.7727272727275,1702.2727272727273
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2014,100.0,2886.695652173913,1683.9130434782608
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2015,100.0,2540.0434782608695,1464.6521739130435
Alaska,Alaska Interior,St_Mary,62.04755,-163.23412,2016,100.0,3386.5454545454545,1981.1363636363637
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2008,155.0,2716.818181818182,1146.3636363636363
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2009,147.0,2687.9545454545455,1177.5
